brand,model,version,price,caractéristiques_disponibilité,caractéristiques_carrosserie,caractéristiques_garantie,caractéristiques_nombre_de_places,caractéristiques_nombre_de_portes,motorisation_nombre_de_cylindres,motorisation_energie,motorisation_puissance_fiscale,motorisation_puissance_(ch.din),transmission_boîte,transmission_nombre_de_rapports,transmission_transmission,consommation_consommation_mixte,aides_à_la_conduite_aide_au_stationnement,equipements_extérieurs_jantes,audio_et_communication_ecran_central,equipements_intérieurs_sellerie,equipements_intérieurs_volant,equipements_intérieurs_toit,equipements_fonctionnels_frein_de_stationnement,equipements_fonctionnels_modes_de_conduite,performances_autonomie_électrique_(wltp),consommation_consommation_électrique_(wltp),consommation_temps_de_recharge_normale_(ac),consommation_temps_de_recharge_rapide_(dc)
Audi,Audi E-tron GT,Audi E-tron GT,,Sur arrivage,Berline,3 ans | Batterie garantie 8 ans ou 160.000 KM,5,4,,Electrique,10 CV,476 CH,Automatique,2,Intégrale,,Radar de recul | Radar avant | Système de caméras 360 | Audi Parking System Plus,En aluminium | 21'',10.1 pouces | Tactile avec retour haptique,Cuir perforé | Surpiqures,Cuir | 3 branches | Chauffant | Multi-fonctions | à méplat | Réglage électrique | Avec palettes,Panoramique | En verre,,,487 km,18.8 kWh/100 km,4.5 heures,60 minutes
Audi,Audi Q8,Audi Q8,,Sur commande,SUV,3 ans,5,5,6,Essence | Hybride léger,22 CV,340 CH,Automatique,8,Intégrale,8.9 L/100 km,Radar de recul | Radar avant | Système de caméras 360 | Audi Parking System Plus,En aluminium | 19'',Tactile | 10.1 pouces,Cuir,Cuir | 3 branches | Multi-fonctions,Panoramique | En verre,Éléctrique,Audi Drive Select,,,,
Avantier,Avantier Avantier C,Avantier Avantier C,,En pré-commande,Utilitaire,5 ans ou 100000 km | Batterie garantie 8 ans ou 160.000 KM,2,3,,Electrique,2 CV,30 CH,Automatique,,Propulsion,,Radar de recul | Caméra de recul,"12""",,Tissu,Multi-fonctions,,,Sport | Eco,182 km,,8 heures,
Avantier,Avantier Commuter,31 KWH LFP,37 800 DT,4 mois | En pré-commande,Citadine,5 ans | Batterie garantie 8 ans,4,5,,Electrique,2 CV,68 CH,Automatique,,Traction,,Radar de recul | Système de caméras 360,En aluminium | 15'' | Bi-ton,Tactile | 10.1 pouces,Tissu | Bi-ton,Multi-fonctions,,Éléctrique | EPB,Normal | Sport | Eco | i-Pedal,300 km,"10,4 kWh/100 km",9 heures,30 minutes
Avantier,Avantier Commuter,31 KWH NMC,45 000 DT,1 mois | En pré-commande,Citadine,5 ans | Batterie garantie 8 ans,4,5,,Electrique,2 CV,68 CH,Automatique,,Traction,,Radar de recul | Système de caméras 360,En aluminium | 15'' | Bi-ton,Tactile | 10.1 pouces,Tissu | Bi-ton,Multi-fonctions,,Éléctrique | EPB,Normal | Sport | Eco | i-Pedal,300 km,"10,4 kWh/100 km",9 heures,30 minutes
Bako,Bako Bee,Wave,16 980 DT,En pré-commande,Citadine,3 ans ou 60.000 km,3,2,,Electrique,1 CV,3 CH,Automatique,1,Propulsion,,Caméra de recul,"En aluminium | 12""",Tactile | 10 pouces,Tissu,,,,,70 km,,6 heures,180 minutes
Bako,Bako Bee,Horizons,19 990 DT,En pré-commande,Citadine,3 ans ou 60.000 km,3,2,,Electrique,1 CV,3 CH,Automatique,1,Propulsion,,Caméra de recul,"En aluminium | 12""",Tactile | 10 pouces,Tissu,,,,,120 km,,6 heures,180 minutes
Bako,Bako B-Van,Start,22 586 DT,En pré-commande,Utilitaire,3 ans ou 60.000 km,1,3,,Electrique,N.C,10 CH,Automatique,1,Propulsion,,Caméra de recul,"En aluminium | 12""",Tactile | 10 pouces,Tissu,,,,,100 km,,6 heures,180 minutes
Bako,Bako B-Van,Wave,27 990 DT,En pré-commande,Utilitaire,3 ans ou 60.000 km,1,3,,Electrique,N.C,10 CH,Automatique,1,Propulsion,,Caméra de recul,"En aluminium | 12""",Tactile | 10 pouces,Tissu,,,,,200 km,,6 heures,180 minutes
Bako,Bako B-Van,Horizons,32 313 DT,En pré-commande,Utilitaire,3 ans ou 60.000 km,1,3,,Electrique,N.C,10 CH,Automatique,1,Propulsion,,Caméra de recul,"En aluminium | 12""",Tactile | 10 pouces,Tissu,,,,,250 km,,6 heures,180 minutes
Bmw,BMW Série 1,118 Business Line,155 900 DT,Disponible,Compacte,5 ans (2+3),5,5,3,Essence,8 CV,156 CH,Automatique,7,Traction,6.4 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,En aluminium | 17'',Tactile | 10.7 pouces,Tissu | Arktur anthrazit,Cuir | Multi-fonctions,,Éléctrique,Normal | Sport | Eco,,,,
Bmw,BMW Série 1,118 Lounge,174 900 DT,Disponible,Compacte,5 ans (2+3),5,5,3,Essence,8 CV,156 CH,Automatique,7,Traction,6.4 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,En aluminium | 18'',Tactile | 10.7 pouces,Mokka | Veganza perforé,Cuir | Multi-fonctions,Ouvrant | Panoramique,Éléctrique,Normal | Sport | Eco,,,,
Bmw,BMW Série 1,118 Pack M,187 900 DT,Disponible,Compacte,5 ans (2+3),5,5,3,Essence,8 CV,156 CH,Automatique,7,Traction,6.4 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,En aluminium | 18'',Tactile | 10.7 pouces,Alcantara/Veganza Schwarz avec surpiqûres bleues,Cuir | Multi-fonctions | M | Sport | Avec palettes,Ouvrant | Panoramique,Éléctrique,Normal | Sport | Eco,,,,
Bmw,BMW Série 1,118 Pack M Pro,209 900 DT,Disponible,Compacte,5 ans (2+3),5,5,3,Essence,8 CV,156 CH,Automatique,7,Traction,6.4 L/100 km,Radar de recul | Radar avant | Système de caméras 360 | Parkassist | Autoreverse,En aluminium | 19'',Tactile | 10.7 pouces,Alcantara/Veganza Schwarz avec surpiqûres bleues,Cuir | Multi-fonctions | M | Sport | Avec palettes,Ouvrant | Panoramique,Éléctrique,Normal | Sport | Eco,,,,
Bmw,BMW Série 2 Gran Coupé,218 Collection Edition Spéciale,165 900 DT,Disponible,Berline,5 ans (2+3),5,4,3,Essence,8 CV,156 CH,Automatique,7,Traction,6.3 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,En aluminium | 17'',Tactile | 10.7 pouces,Tissu | Arktur anthrazit,Cuir | Multi-fonctions,,Éléctrique,Confort | Sport | Eco,,,,
Bmw,BMW Série 2 Gran Coupé,218 Business Line,181 900 DT,Disponible,Berline,5 ans (2+3),5,4,3,Essence,8 CV,156 CH,Automatique,7,Traction,6.3 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,En aluminium | 17'',Tactile | 10.7 pouces,Tissu | Arktur anthrazit,Cuir | Multi-fonctions,,Éléctrique,Confort | Sport | Eco,,,,
Bmw,BMW Série 2 Gran Coupé,218 Lounge,197 900 DT,Disponible,Berline,5 ans (2+3),5,4,3,Essence,8 CV,156 CH,Automatique,7,Traction,6.3 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,En aluminium | 18'' | Bi-ton,Tactile | 10.7 pouces,Veganza perforé,Cuir | Multi-fonctions,Ouvrant | Panoramique | En verre,Éléctrique,Confort | Sport | Eco,,,,
Bmw,BMW Série 2 Gran Coupé,218 Pack M,203 900 DT,Disponible,Berline,5 ans (2+3),5,4,3,Essence,8 CV,156 CH,Automatique,7,Traction,6.3 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,En aluminium | 18'' | Bi-ton,Tactile | 10.7 pouces,Alcantara/Veganza Schwarz avec surpiqûres bleues,Cuir | Multi-fonctions | M | Sport | Avec palettes,Ouvrant | Panoramique | En verre,Éléctrique,Confort | Sport | Eco,,,,
Bmw,BMW Série 2 Gran Coupé,218 Pack M Pro,223 900 DT,Disponible,Berline,5 ans (2+3),5,4,3,Essence,8 CV,156 CH,Automatique,7,Traction,6.3 L/100 km,Radar de recul | Radar avant | Système de caméras 360 | Autoreverse | Parkassit Plus,En aluminium | 19'' | M,Tactile | 10.7 pouces,Alcantara/Veganza Schwarz avec surpiqûres bleues,Cuir | Multi-fonctions | M | Sport | Avec palettes,Ouvrant | Panoramique | En verre,Éléctrique,Confort | Sport | Eco,,,,
Bmw,BMW Série 3,320i Business Line,207 900 DT,Disponible,Berline,5 ans (2+3),5,4,4,Essence,9 CV,170 CH,Automatique,8,Propulsion,5.5 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist | Park distance control,En aluminium | 17'',Tactile | 14.9 pouces,Tissu,Cuir | Multi-fonctions | Sport,,Éléctrique,Confort | Sport | Eco,,,,
Bmw,BMW Série 3,320i Lounge,225 900 DT,Disponible,Berline,5 ans (2+3),5,4,4,Essence,9 CV,170 CH,Automatique,8,Propulsion,5.5 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist | Park distance control,En aluminium | 17'',Tactile | 14.9 pouces,Sensatec perforé,Cuir | Multi-fonctions | Sport,Ouvrant | En verre,Éléctrique,Confort | Sport | Eco,,,,
Bmw,BMW Série 3,320i Pack M,251 900 DT,Disponible,Berline,5 ans (2+3),5,4,4,Essence,9 CV,170 CH,Automatique,8,Propulsion,5.5 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist | Park distance control,En aluminium | 18'',Tactile | 14.9 pouces,Sensatec perforé,Cuir | Multi-fonctions | M | Sport,Ouvrant | En verre,Éléctrique,Confort | Sport | Eco,,,,
Bmw,BMW Série 3,320i Pack M Pro,268 900 DT,Disponible,Berline,5 ans (2+3),5,4,4,Essence,9 CV,170 CH,Automatique,8,Propulsion,5.5 L/100 km,Radar de recul | Radar avant | Système de caméras 360 | Parkassist | Park distance control,En aluminium | 19'',Tactile | 14.9 pouces,Sensatec perforé,Cuir | Multi-fonctions | M | Sport,Ouvrant | En verre,Éléctrique,Confort | Sport | Eco,,,,
Bmw,BMW Série 3 Hybride,BMW Série 3 Hybride,,Sur arrivage,Berline,5 ans (2+3) | Batterie garantie 6 ans,5,4,4,Essence | Hybride rechargeable,10 CV,292 CH,Automatique,8,Propulsion,1.0 L/100 km,Radar de recul | Radar avant | Caméra de recul | Système de caméras 360 | Parkassit Plus,En aluminium | 19'',Tactile | 14.9 pouces,Sensatec perforé | Tacorarot,Cuir | Multi-fonctions | M | Sport | Avec palettes,Ouvrant | En verre,Éléctrique,Confort | Sport | Eco,92 km,22.6 kWh/100 km,2.25 heures,
Bmw,BMW Série 4 Gran Coupé,420i Business Line,279 900 DT,45 jours,Berline,5 ans (2+3),5,5,4,Essence,10 CV,184 CH,Automatique,8,Propulsion,6.2 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,En aluminium | 18'' | Bi-ton,Tactile | 14.9 pouces,Similicuir | Sensatec perforé,Cuir | Multi-fonctions | Sport,Ouvrant | Panoramique,Éléctrique,Confort | Sport | Eco,,,,
Bmw,BMW Série 4 Gran Coupé,420i Pack M,329 900 DT,Disponible,Berline,5 ans (2+3),5,5,4,Essence,10 CV,184 CH,Automatique,8,Propulsion,6.2 L/100 km,Radar de recul | Radar avant | Système de caméras 360 | Autoreverse | Parkassit Plus,En aluminium | 19'' | M,Tactile | 14.9 pouces,Similicuir | Sensatec perforé,Cuir | Multi-fonctions | M | Sport | Avec palettes,Ouvrant | Panoramique,Éléctrique,Confort | Sport | Eco,,,,
Bmw,BMW Série 4 Coupé,BMW Série 4 Coupé,,Disponible,Coupé,5 ans (2+3),4,2,4,Essence,10 CV,184 CH,Automatique,8,Propulsion,6.4 L/100 km,Radar de recul | Radar avant | Système de caméras 360 | Autoreverse | Parkassit Plus,En aluminium | 19'' | M,Tactile | 14.9 pouces,Cuir | Schwarz | Vernasca,Cuir | Multi-fonctions | M | Sport | Avec palettes,Ouvrant | En verre,Éléctrique,Confort | Sport | Eco,,,,
Bmw,BMW Série 5,520i Lounge,334 900 DT,Disponible,Berline,5 ans (2+3),5,4,4,Essence | Hybride léger,10 CV,190 CH,Automatique,8,Propulsion,7.2 L/100 km,Radar de recul | Radar avant | Système de caméras 360 | Parkassist | Détection du trafic en marche arrière | Autoreverse,En aluminium | 18'',Tactile | 14.9 pouces,Surpiqures  | Veganza perforé,Cuir | Multi-fonctions | Avec palettes,,Éléctrique,Confort | Sport | Eco,,,,
Bmw,BMW Série 5,520i Pack M,359 900 DT,Disponible,Berline,5 ans (2+3),5,4,4,Essence | Hybride léger,10 CV,190 CH,Automatique,8,Propulsion,7.2 L/100 km,Radar de recul | Radar avant | Système de caméras 360 | Parkassist | Détection du trafic en marche arrière | Autoreverse,En aluminium | 19'',Tactile | 14.9 pouces,Surpiqures  | Veganza perforé,Cuir | Multi-fonctions | M | Sport | Avec palettes,Panoramique | En verre,Éléctrique,Confort | Sport | Eco,,,,
Bmw,BMW Série 5,520i Pack M +,384 900 DT,Disponible,Berline,5 ans (2+3),5,4,4,Essence | Hybride léger,10 CV,190 CH,Automatique,8,Propulsion,7.2 L/100 km,Radar de recul | Radar avant | Système de caméras 360 | Parkassist | Détection du trafic en marche arrière | Autoreverse,En aluminium | 20'',Tactile | 14.9 pouces,Surpiqures  | Veganza perforé,Cuir | Multi-fonctions | M | Sport | Avec palettes,Panoramique | En verre,Éléctrique,Confort | Sport | Eco,,,,
Bmw,BMW Série 5 Hybride,530e Lounge,254 900 DT,Sur arrivage,Berline,5 ans (2+3),5,4,4,Essence | Hybride rechargeable,10 CV,299 CH,Automatique,8,Propulsion,2.6 L/100 km,Radar de recul | Radar avant | Système de caméras 360 | Détection du trafic en marche arrière | Autoreverse | Parkassit Plus,En aluminium | 19'' | Bi-ton,Tactile | 14.9 pouces,Surpiqures  | Veganza perforé,Cuir | Multi-fonctions | Avec palettes,,Éléctrique,Sport | Relax | Expressive | Personal | Efficient,98 km,21.5 kWh/100 km,2.25 heures,
Bmw,BMW Série 5 Hybride,530e Pack M,264 900 DT,Sur arrivage,Berline,5 ans (2+3),5,4,4,Essence | Hybride rechargeable,10 CV,299 CH,Automatique,8,Propulsion,2.6 L/100 km,Radar de recul | Radar avant | Système de caméras 360 | Détection du trafic en marche arrière | Autoreverse | Parkassit Plus,En aluminium | 19'' | Bi-ton | M,Tactile | 14.9 pouces,Surpiqures  | Veganza perforé,Cuir | Multi-fonctions | M | Sport | Avec palettes,Panoramique | En verre,Éléctrique,Sport | Relax | Expressive | Personal | Efficient,98 km,21.5 kWh/100 km,2.25 heures,
Bmw,BMW Série 5 Hybride,530e Pack M +,279 900 DT,Sur arrivage,Berline,5 ans (2+3),5,4,4,Essence | Hybride rechargeable,10 CV,299 CH,Automatique,8,Propulsion,2.6 L/100 km,Radar de recul | Radar avant | Système de caméras 360 | Détection du trafic en marche arrière | Autoreverse | Parkassit Plus,En aluminium | 20'' | Bi-ton | M,Tactile | 14.9 pouces,Surpiqures  | Veganza perforé,Cuir | Multi-fonctions | M | Sport | Avec palettes,Panoramique | En verre,Éléctrique,Sport | Relax | Expressive | Personal | Efficient,98 km,21.5 kWh/100 km,2.25 heures,
Bmw,BMW X1,"18i sDrive Collection ""Edition Spéciale""",169 900 DT,Disponible,SUV,5 ans (2+3),5,5,3,Essence,9 CV,156 CH,Automatique,7,Traction,5.9 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist,En aluminium | 17'',Tactile | 10.7 pouces | Curved Display,Tissu | Arktur anthrazit,Cuir | Multi-fonctions,,Éléctrique,Sport | Personal | Efficient,,,,
Bmw,BMW X1,18i sDrive Lounge,199 900 DT,Disponible,SUV,5 ans (2+3),5,5,3,Essence,9 CV,156 CH,Automatique,7,Traction,5.9 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,En aluminium | 17'',Tactile | 10.7 pouces | Curved Display,Tissu | Arktur anthrazit,Cuir | Multi-fonctions,,Éléctrique,Sport | Personal | Efficient,,,,
Bmw,BMW X1,18i sDrive xLine,224 900 DT,Disponible,SUV,5 ans (2+3),5,5,3,Essence,9 CV,156 CH,Automatique,7,Traction,5.9 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,En aluminium | 18'',Tactile | 10.7 pouces | Curved Display,Veganza perforé,Cuir | Multi-fonctions,Ouvrant | Panoramique,Éléctrique,Sport | Personal | Efficient,,,,
Bmw,BMW X1,18i sDrive Pack Sport M,229 900 DT,Disponible,SUV,5 ans (2+3),5,5,3,Essence,9 CV,156 CH,Automatique,7,Traction,5.9 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,En aluminium | 18'',Tactile | 10.7 pouces | Curved Display,Alcantara/Veganza Schwarz avec surpiqûres bleues,Cuir | Multi-fonctions | M,Ouvrant | Panoramique,Éléctrique,Sport | Relax | Expressive | Personal | Efficient,,,,
Bmw,BMW X1 Hybride,xDrive 25e Lounge,179 900 DT,Sur arrivage,SUV,5 ans (2+3) | Batterie garantie 6 ans,5,5,3,Essence | Hybride rechargeable,8 CV,245 CH,Automatique,7,Intégrale,2.8 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,En aluminium | 17'',Tactile | 10.7 pouces | Curved Display,Veganza perforé,Cuir | Multi-fonctions,,Éléctrique,Sport | Relax | Expressive | Personal | Efficient,85 km,13.8 kWh/100 km,2.5 heures,
Bmw,BMW X1 Hybride,xDrive 25e xLine,189 900 DT,Sur arrivage,SUV,5 ans (2+3) | Batterie garantie 6 ans,5,5,3,Essence | Hybride rechargeable,8 CV,245 CH,Automatique,7,Intégrale,2.8 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,En aluminium | 18'' | Bi-ton,Tactile | 10.7 pouces | Curved Display,Veganza perforé,Cuir | Multi-fonctions,Ouvrant | Panoramique | En verre,Éléctrique,Sport | Relax | Expressive | Personal | Efficient,85 km,13.8 kWh/100 km,2.5 heures,
Bmw,BMW X1 Hybride,xDrive 25e Pack M,194 900 DT,Sur arrivage,SUV,5 ans (2+3) | Batterie garantie 6 ans,5,5,3,Essence | Hybride rechargeable,8 CV,245 CH,Automatique,7,Intégrale,2.8 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,En aluminium | 18'' | Bi-ton,Tactile | 10.7 pouces | Curved Display,Alcantara/Veganza,Cuir | Multi-fonctions | M | Avec palettes,Ouvrant | Panoramique | En verre,Éléctrique,Sport | Relax | Expressive | Personal | Efficient,85 km,13.8 kWh/100 km,2.5 heures,
Bmw,BMW X2,18i sDrive  Collection,179 900 DT,Disponible,SUV,5 ans (2+3),5,5,3,Essence,8 CV,156 CH,Automatique,7,Traction,6.7 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist,En aluminium | 18'',Tactile | 10.7 pouces,Mokka | Veganza perforé,Cuir | Multi-fonctions,,Éléctrique,Normal | Confort | Sport,,,,
Bmw,BMW X2,18i sDrive  Lounge,209 900 DT,Disponible,SUV,5 ans (2+3),5,5,3,Essence,8 CV,156 CH,Automatique,7,Traction,6.7 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist,En aluminium | 19'' | Bi-ton,Tactile | 10.7 pouces,Similicuir,Cuir | Multi-fonctions,,Éléctrique,Normal | Confort | Sport,,,,
Bmw,BMW X2,18i sDrive  Pack M,237 900 DT,Disponible,SUV,5 ans (2+3),5,5,3,Essence,8 CV,156 CH,Automatique,7,Traction,6.7 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist,En aluminium | 19'' | Bi-ton,Tactile | 10.7 pouces,Alcantara/Similicuir,Cuir | Multi-fonctions | M | Sport,Panoramique | En verre,Éléctrique,Normal | Confort | Sport,,,,
Bmw,BMW X2,18i sDrive  Pack M Pro,258 900 DT,Disponible,SUV,5 ans (2+3),5,5,3,Essence,8 CV,156 CH,Automatique,7,Traction,6.7 L/100 km,Radar de recul | Radar avant | Système de caméras 360 | Parkassist | Caméra panoramique 3D,En aluminium | 20'',Tactile | 10.7 pouces,Alcantara/Similicuir,Cuir | Multi-fonctions | M | Sport,Panoramique | En verre,Éléctrique,Normal | Confort | Sport,,,,
Bmw,BMW X3,BMW X3,,Disponible,SUV,5 ans (2+3),5,5,4,Essence,11 CV,184 CH,Automatique,8,Intégrale,7.7 L/100 km,Radar de recul | Radar avant | Caméra de recul | Autoreverse | Parkassit Plus,En aluminium | 21'',Tactile | 10.25 pouces,Similicuir | Sensatec perforé,Cuir | Multi-fonctions | M | Avec palettes,Panoramique | En verre,Éléctrique,Normal | Confort | Sport | Eco,,,,
Bmw,BMW X3 Hybride,xDrive 30e Pack M,264 900 DT,Disponible,SUV,5 ans (2+3) | Batterie garantie 6 ans,5,5,4,Essence | Hybride rechargeable,10 CV,299 CH,Automatique,8,Intégrale,2.8 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist,En aluminium | 19'' | Bi-ton | M,Tactile | 14.9 pouces,Surpiqures  | Veganza perforé,Cuir | Multi-fonctions | M | Avec palettes,Panoramique | En verre,Éléctrique,Sport | Relax | Expressive | Personal | Efficient,88 km,22.9 kWh/100 km,2.25 heures,
Bmw,BMW X3 Hybride,xDrive 30e Pack M Pro,279 900 DT,Disponible,SUV,5 ans (2+3) | Batterie garantie 6 ans,5,5,4,Essence | Hybride rechargeable,10 CV,299 CH,Automatique,8,Intégrale,2.8 L/100 km,Radar de recul | Radar avant | Système de caméras 360 | Parkassist | Caméra panoramique 3D,En aluminium | 20'' | Bi-ton | M,Tactile | 14.9 pouces,Surpiqures  | Veganza perforé,Cuir | Multi-fonctions | M | Avec palettes,Panoramique | En verre,Éléctrique,Sport | Relax | Expressive | Personal | Efficient,88 km,22.9 kWh/100 km,2.25 heures,
